Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Edition number (product.metafields.custom.edition_number)
speckled-morning-mug,Speckled Morning Mug,"<p>A mug that fits both hands on a cold morning and keeps coffee hot for longer, thanks to thick, wheel-thrown walls. The speckle comes from iron in the clay: no two are alike.</p><ul><li>Wheel-thrown stoneware, 350ml</li><li>Food-safe, lead-free glaze</li><li>Dishwasher and microwave safe</li><li>Made in small batches in our studio</li></ul>",Maison,Mugs,"Tableware,mug,stoneware",TRUE,Glaze,Speckled Oat,,,MSN-001-01,38.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1786107955398-3a6c7409536e?w=1200&h=1500&fit=crop&q=90,1,Speckled stoneware mug with a spoon on a green marble surface in morning light,Speckled Morning Mug — Maison,"Wheel-thrown speckled stoneware mug, 350ml, in oat, celadon or iron black.",
speckled-morning-mug,,,,,,,,Celadon,,,MSN-001-02,38.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
speckled-morning-mug,,,,,,,,Iron Black,,,MSN-001-03,38.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
gilded-handle-mug,Gilded Handle Mug,"<p>An everyday cup made special: a smooth, glossy body with a hand-painted lustre handle that catches the light at the table.</p><ul><li>Porcelain-stoneware blend, 300ml</li><li>Handle finished in real gold lustre</li><li>Hand wash to keep the lustre bright</li><li>Small batch: each handle painted by hand</li></ul>",Maison,Mugs,"Tableware,mug,porcelain",TRUE,Glaze,Milk White,,,MSN-002-01,44.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1520485521983-bfaa0bc6c80e?w=1200&h=1500&fit=crop&q=90,1,Glossy white mug with a gold lustre handle on a dark table,Gilded Handle Mug — Maison,"Glossy mug with a hand-painted gold lustre handle, 300ml.",
gilded-handle-mug,,,,,,,,Iron Black,,,MSN-002-02,44.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
earthenware-mug-set-of-4,Earthenware Mug — Set of 4,"<p>Four mugs, four glazes that belong together: the easiest way to make a shelf look collected. Every set is mixed by hand from the same firing.</p><ul><li>Four wheel-thrown mugs, 300ml each</li><li>Mixed glazes from one firing, no two sets identical</li><li>Dishwasher safe</li><li>Arrives gift-boxed</li></ul>",Maison,Mugs,"Tableware,mug,set,gift",TRUE,Glaze,Sunset Mix,,,MSN-003-01,128.00,148.00,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1784652587169-6b3933829d22?w=1200&h=1500&fit=crop&q=90,1,Four handmade stoneware mugs in earthy glazes stacked in sunlight,Earthenware Mug — Set of 4 — Maison,"Set of four handmade mugs in mixed earthy glazes, gift-boxed.",
earthenware-mug-set-of-4,,,,,,,,Harbour Mix,,,MSN-003-02,128.00,148.00,shopify,8,deny,manual,TRUE,TRUE,,,,,,
nesting-bowls-set-of-3,Nesting Bowls — Set of 3,"<p>Three bowls that stack into the space of one: prep, serve and store without clutter. Raw clay outside, a deep glaze inside that shows off whatever you put in it.</p><ul><li>Stoneware, 12 / 16 / 20cm</li><li>Unglazed exterior, glazed interior</li><li>Dishwasher safe</li><li>Made in small batches</li></ul>",Maison,Bowls,"Tableware,bowl,set,stoneware",TRUE,Glaze,Cobalt,,,MSN-004-01,96.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610128361323-6e941c97f023?w=1200&h=1500&fit=crop&q=90,1,Stoneware bowls with blue glazed interiors beside a jug of lavender,Nesting Bowls — Set of 3 — Maison,"Three nesting stoneware bowls with a glazed interior: 12, 16 and 20cm.",
nesting-bowls-set-of-3,,,,,,,,Speckled Oat,,,MSN-004-02,96.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
speckled-rice-bowl,Speckled Rice Bowl,"<p>The right size for rice, soup or a morning yoghurt, with a foot that sits steadily in the hand. Buy one to try, or a set to lay the table.</p><ul><li>Wheel-thrown stoneware, 13cm diameter</li><li>Food-safe speckled glaze</li><li>Dishwasher and microwave safe</li><li>Small batch: slight variations are part of the charm</li></ul>",Maison,Bowls,"Tableware,bowl,stoneware",TRUE,Glaze,Speckled Oat,Set,Single,MSN-005-01,28.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1587560555570-4d3f84dcee05?w=1200&h=1500&fit=crop&q=90,1,Three speckled stoneware rice bowls seen from above on white marble,Speckled Rice Bowl — Maison,"Speckled stoneware rice bowl, 13cm. Single or set of four.",
speckled-rice-bowl,,,,,,,,Speckled Oat,,Set of 4,MSN-005-02,98.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
speckled-rice-bowl,,,,,,,,Sea Salt,,Single,MSN-005-03,28.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
speckled-rice-bowl,,,,,,,,Sea Salt,,Set of 4,MSN-005-04,98.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
