Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Edition number (product.metafields.custom.edition_number)
solstice-giclee-print,Solstice — Giclée Print,"<p>A slow wash of warm yellow that lifts a pale wall the way late-afternoon light does. Printed with pigment inks that hold their colour for a lifetime, and numbered by hand.</p><ul><li>Giclée on 310gsm cotton rag, 2cm white border</li><li>Edition of 50, signed and numbered</li><li>Frame: solid wood, museum glass, ready to hang</li><li>Ships flat-packed in 3–5 days</li></ul>",Annex,Art Print,"Limited Editions,print,abstract,giclee",TRUE,Size,30 × 40 cm,Frame,Natural Oak,ANX-001-01,145.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1780672823844-472314bd8096?w=1200&h=1500&fit=crop&q=90,1,Yellow abstract giclée print in a light oak frame on a warm white wall,Solstice — Giclée Print — Annex,"Warm yellow abstract giclée on cotton rag, edition of 50. Framed in oak, black ash or white.",08/50
solstice-giclee-print,,,,,,,,30 × 40 cm,,Black Ash,ANX-001-02,145.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
solstice-giclee-print,,,,,,,,30 × 40 cm,,Gallery White,ANX-001-03,145.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
solstice-giclee-print,,,,,,,,50 × 70 cm,,Natural Oak,ANX-001-04,245.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
solstice-giclee-print,,,,,,,,50 × 70 cm,,Black Ash,ANX-001-05,245.00,,shopify,5,deny,manual,TRUE,TRUE,,,,,,
solstice-giclee-print,,,,,,,,50 × 70 cm,,Gallery White,ANX-001-06,245.00,,shopify,7,deny,manual,TRUE,TRUE,,,,,,
tidal-forms-screen-print,Tidal Forms — Screen Print,"<p>Dark kelp shapes drifting across a coral ground: a bold, graphic piece that anchors a hallway or a reading corner. Each sheet is pulled by hand, three colours, one at a time.</p><ul><li>Three-colour screen print on 250gsm Somerset paper</li><li>Edition of 40, signed and numbered</li><li>Small variations in ink density make every sheet unique</li><li>Frame: solid wood with UV-filtering acrylic</li></ul>",Annex,Art Print,"Limited Editions,print,screen print,botanical",TRUE,Size,30 × 40 cm,Frame,Black Ash,ANX-002-01,165.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1784006322945-efad2e732845?w=1200&h=1500&fit=crop&q=90,1,"Screen print of dark seaweed forms on a coral ground, framed on a sunlit wall",Tidal Forms — Screen Print — Annex,"Hand-pulled three-colour screen print, edition of 40. Framed in black ash, oak or walnut.",17/40
tidal-forms-screen-print,,,,,,,,30 × 40 cm,,Natural Oak,ANX-002-02,165.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
tidal-forms-screen-print,,,,,,,,30 × 40 cm,,Walnut,ANX-002-03,165.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
tidal-forms-screen-print,,,,,,,,50 × 70 cm,,Black Ash,ANX-002-04,275.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
tidal-forms-screen-print,,,,,,,,50 × 70 cm,,Natural Oak,ANX-002-05,275.00,,shopify,5,deny,manual,TRUE,TRUE,,,,,,
tidal-forms-screen-print,,,,,,,,50 × 70 cm,,Walnut,ANX-002-06,275.00,,shopify,7,deny,manual,TRUE,TRUE,,,,,,
celestial-chart-archival-print,Celestial Chart — Archival Print,"<p>An old-world star chart that brings a sense of quiet and scale to a bedroom wall. Restored from a 19th-century engraving and printed on warm, textured paper.</p><ul><li>Archival pigment print on 300gsm textured fine-art paper</li><li>Edition of 100, numbered</li><li>Frame: walnut or oak, anti-reflective glass</li><li>Includes a certificate of authenticity</li></ul>",Annex,Art Print,"Limited Editions,print,vintage,celestial",TRUE,Size,30 × 40 cm,Frame,Walnut,ANX-003-01,125.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1786046655743-751594a64fd4?w=1200&h=1500&fit=crop&q=90,1,Celestial chart print in a walnut frame behind a spray of dried baby’s breath,Celestial Chart — Archival Print — Annex,"Restored 19th-century star chart on textured fine-art paper, edition of 100.",42/100
celestial-chart-archival-print,,,,,,,,30 × 40 cm,,Natural Oak,ANX-003-02,125.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
celestial-chart-archival-print,,,,,,,,50 × 70 cm,,Walnut,ANX-003-03,210.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
celestial-chart-archival-print,,,,,,,,50 × 70 cm,,Natural Oak,ANX-003-04,210.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
field-notes-botanical-print,Field Notes — Botanical Print,"<p>A naturalist’s study, flowers and handwritten notes together, that makes a kitchen or study feel lived-in and curious. Reproduced at the original sheet’s scale.</p><ul><li>Giclée on 310gsm cotton rag</li><li>Edition of 75, numbered</li><li>Frame: solid oak or walnut, museum glass</li><li>Ready to hang, hanging wire fitted</li></ul>",Annex,Art Print,"Limited Editions,print,botanical",TRUE,Size,30 × 40 cm,Frame,Natural Oak,ANX-004-01,135.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1775923081171-f2aa01448885?w=1200&h=1500&fit=crop&q=90,1,Botanical illustration with handwritten field notes in a light oak frame,Field Notes — Botanical Print — Annex,"Botanical study with handwritten notes, giclée on cotton rag, edition of 75.",23/75
field-notes-botanical-print,,,,,,,,30 × 40 cm,,Walnut,ANX-004-02,135.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
field-notes-botanical-print,,,,,,,,50 × 70 cm,,Natural Oak,ANX-004-03,225.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
field-notes-botanical-print,,,,,,,,50 × 70 cm,,Walnut,ANX-004-04,225.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
